Year,Day,Hour,Minute,Bx GSE-GSM(nT)
2021,4,3,40,-0.48
2021,4,3,45,-0.44
2021,4,3,50,-0.62
2021,4,3,55,-0.74
2021,4,4,0,-0.87
2021,4,4,5,-0.66
2021,4,4,10,-0.68
2021,4,4,15,-0.58
2021,4,4,20,-0.82
2021,4,4,25,-0.94
2021,4,4,30,-0.76
2021,4,4,35,-0.84
2021,4,4,40,-0.91
2021,4,4,45,-0.89
2021,4,4,50,-1.01
2021,4,4,55,-1.16
2021,4,5,0,-0.36
2021,4,5,5,-0.60
2021,4,5,10,-1.40
2021,4,5,15,-1.50
2021,4,5,20,-1.60
2021,4,5,25,-1.55
2021,4,5,30,-1.50
2021,4,5,35,-1.23
2021,4,5,40,-0.78
2021,4,5,45,-1.60
2021,4,5,50,-1.62
2021,4,5,55,-1.61
2021,4,6,0,-1.82
2021,4,6,5,-2.32
2021,4,6,10,-2.40
2021,4,6,15,-2.25
2021,4,6,20,-1.13
2021,4,6,25,0.58
2021,4,6,30,0.75
2021,4,6,35,0.68
2021,4,6,40,0.55
2021,4,6,45,-0.31
2021,4,6,50,-1.69
2021,4,6,55,-2.58
2021,4,7,0,-1.52
2021,4,7,5,-1.41
2021,4,7,10,-0.73
2021,4,7,15,-1.97
2021,4,7,20,-1.70
2021,4,7,25,-0.79
2021,4,7,30,-0.62
2021,4,7,35,-0.83
2021,4,7,40,0.08
2021,4,7,45,-0.38
2021,4,7,50,-0.20
2021,4,7,55,0.55
2021,4,8,0,3.89
2021,4,8,5,3.80
2021,4,8,10,3.32
2021,4,8,15,3.61
2021,4,8,20,3.23
2021,4,8,25,2.78
2021,4,8,30,2.32
2021,4,8,35,0.10
2021,4,8,40,-1.38
2021,4,8,45,-1.40
2021,4,8,50,-0.46
2021,4,8,55,-0.63
2021,4,9,0,-0.35
2021,4,9,5,-1.08
2021,4,9,10,-1.30
2021,4,9,15,0.26
2021,4,9,20,0.24
2021,4,9,25,-0.03
2021,4,9,30,0.24
2021,4,9,35,0.01
2021,4,9,40,-0.06
2021,4,9,45,0.44
2021,4,9,50,0.51
2021,4,9,55,-0.60
2021,4,10,0,-0.71
2021,4,10,5,-0.14
2021,4,10,10,0.51
2021,4,10,15,-0.21
2021,4,10,20,-0.71
2021,4,10,25,-0.41
2021,4,10,30,-1.00
2021,4,10,35,-0.89
2021,4,10,40,-1.04
2021,4,10,45,-1.49
2021,4,10,50,-0.71
2021,4,10,55,-0.24
2021,4,11,0,-0.29
2021,4,11,5,-0.10
2021,4,11,10,-0.26
2021,4,11,15,-0.38
2021,4,11,20,-0.59
2021,4,11,25,-0.63
2021,4,11,30,-0.68
2021,4,11,35,-0.98
2021,4,11,40,-1.22
2021,4,11,45,-1.50
2021,4,11,50,-1.21
2021,4,11,55,-1.54
2021,4,12,0,-1.55
2021,4,12,5,-0.81
2021,4,12,10,-0.57
2021,4,12,15,-0.77
2021,4,12,20,-0.47
2021,4,12,25,-0.66
2021,4,12,30,-0.70
2021,4,12,35,-0.79
2021,4,12,40,-0.54
2021,4,12,45,-0.46
2021,4,12,50,-0.74
2021,4,12,55,-0.76
2021,4,13,0,-0.78
2021,4,13,5,-1.58
2021,4,13,10,-0.06
2021,4,13,15,-1.38
2021,4,13,20,-1.14
2021,4,13,25,-0.88
2021,4,13,30,-0.68
2021,4,13,35,-0.73
2021,4,13,40,-0.29
2021,4,13,45,-1.51
2021,4,13,50,-2.16
2021,4,13,55,-1.87
2021,4,14,0,-1.59
2021,4,14,5,-1.78
2021,4,14,10,-0.99
2021,4,14,15,-1.53
2021,4,14,20,-3.00
2021,4,14,25,-2.92
2021,4,14,30,-3.13
